"ArrayType","AUC_Normalized","Mean_Distance","n","Tier","Population"
"GSAMD-24v2-0_20024620_A1",0.982275366219386,0.549463647199047,839,"🥇 Gold (Excellent)","AFR"
"GDA-8v1-0_A1",0.978776577338614,0.65792610250298,839,"🥇 Gold (Excellent)","AFR"
"GSA-24v2-0_A1",0.976238994194317,0.736591179976162,839,"🥇 Gold (Excellent)","AFR"
"GSA-24v3-0_A2",0.974393479180284,0.793802145411204,839,"🥇 Gold (Excellent)","AFR"
"Multi-EthnicGlobal_A1",0.96382021607905,1.12157330154946,839,"🥇 Gold (Excellent)","AFR"
"Multi-EthnicGlobal_D1",0.962897458572033,1.15017878426698,839,"🥇 Gold (Excellent)","AFR"
"Axiom_PMDA",0.960436771886655,1.22646007151371,839,"🥇 Gold (Excellent)","AFR"
"Multi-EthnicAMR-AFR-8v1-0_A1",0.959398669691261,1.25864123957092,839,"🥇 Gold (Excellent)","AFR"
"BDCHP-1X10-HUMANHAP240S_11216501_A",0.95743780998885,1.31942789034565,839,"🥇 Gold (Excellent)","AFR"
"Axiom_APMRA",0.9514783344227,1.50417163289631,839,"🥇 Gold (Excellent)","AFR"
"PsychChip_v1-1_15073391_A1",0.949440578261371,1.5673420738975,839,"🥈 Silver (Good)","AFR"
"HumanOmni5Exome-4v1-1_A",0.949209888884617,1.57449344457688,839,"🥈 Silver (Good)","AFR"
"HumanOmni5Exome-4v1_A",0.949056095966781,1.5792610250298,839,"🥈 Silver (Good)","AFR"
"HumanCoreExome-12-v1-0-D",0.947787304394633,1.61859356376639,839,"🥈 Silver (Good)","AFR"
"HumanOmni25Exome-8v1_A",0.947287477411665,1.63408820023838,839,"🥈 Silver (Good)","AFR"
"InfiniumCoreExome-24v1-3_A1",0.946787650428698,1.64958283671037,839,"🥈 Silver (Good)","AFR"
"InfiniumCoreExome-24v1-2_A1",0.946672305740321,1.65315852205006,839,"🥈 Silver (Good)","AFR"
"GenomeWideSNP_6.na31",0.946480064593025,1.65911799761621,839,"🥈 Silver (Good)","AFR"
"InfiniumOmni5Exome-4v1-3_A1",0.946249375216271,1.66626936829559,839,"🥈 Silver (Good)","AFR"
"InfiniumOmni2-5Exome-8v1-4_A1",0.946134030527894,1.66984505363528,839,"🥈 Silver (Good)","AFR"
"HumanCoreExome-12-v1-1-C",0.94590334115114,1.67699642431466,839,"🥈 Silver (Good)","AFR"
"InfiniumOmni2-5Exome-8v1-5_A1",0.945249721250336,1.69725864123957,839,"🥈 Silver (Good)","AFR"
"InfiniumPsychArray-24v1-2_A1",0.944519204890615,1.71990464839094,839,"🥈 Silver (Good)","AFR"
"InfiniumPsychArray-24v1-3_A1",0.944442308431697,1.7222884386174,839,"🥈 Silver (Good)","AFR"
"HumanOmni2-5Exome-8-v1-1-A",0.944365411972779,1.72467222884386,839,"🥈 Silver (Good)","AFR"
"InfiniumCoreExome-24v1-1_A",0.944211619054943,1.72943980929678,839,"🥈 Silver (Good)","AFR"
"InfiniumPsychArray-24v1-1_A1",0.942981275712253,1.76758045292014,839,"🥈 Silver (Good)","AFR"
"HumanCoreExome-24v1-0_A",0.942443000499827,1.78426698450536,839,"🥈 Silver (Good)","AFR"
"InfiniumOmni2-5Exome-8v1-3_A1",0.941981621746319,1.79856972586412,839,"🥈 Silver (Good)","AFR"
"InfiniumOmni2.5Exome-8v1-2_A",0.94113576069822,1.82479141835518,839,"🥈 Silver (Good)","AFR"
"HumanOmni5Exome-4v1-2_A",0.941020416009843,1.82836710369487,839,"🥈 Silver (Good)","AFR"
"GenomeWideSNP_6",0.940597485485793,1.84147794994041,839,"🥈 Silver (Good)","AFR"
"PsychArray_A",0.939905417355531,1.86293206197855,839,"🥈 Silver (Good)","AFR"
"GenomeWideSNP_6.na33",0.938213695259333,1.91537544696067,839,"🥈 Silver (Good)","AFR"
"Axiom_UKB_WCSG",0.937329385981776,1.94278903456496,839,"🥈 Silver (Good)","AFR"
"GenomeWide_6-.58-v2",0.932254219693183,2.10011918951132,839,"🥈 Silver (Good)","AFR"
